quiet please,0.770000,1.910000
quiet,0.770000,1.230000
please,1.230000,1.910000
no need to shout,3.250000,4.350000
shout,3.700000,4.170000
yell,5.320000,5.960000
no need to yell,4.740000,5.960000
have a riot,6.830000,7.910000
have a,6.850000,7.120000
riot,7.240000,7.800000
no need to have a riot,6.390000,7.800000
no need to have,6.390000,6.994000
have,6.820000,6.990000
shut,8.160000,8.470000
shut your,8.160000,8.636000
shut your eyes,8.160000,9.410000
eyes,8.750000,9.410000
your eyes,8.600000,9.410000
take a deep breath,9.790000,10.860000
take,9.790000,10.000000
deep,10.150000,10.380000
breath,10.420000,10.870000
*deep breath*,10.920000,12.400000
oh you've gone all quiet,12.410000,14.310000
oh,12.410000,12.780000
you've gone all,12.870000,13.300000
quiet,13.350000,13.890000
*stares*,14.150000,16.210000
